likeType,relationId,count,liked
GOODS,1812069,1816,False
GOODS,5068733,1150,False
GOODS,5384973,122,False
GOODS,4995010,976,False
GOODS,4305877,670,False
GOODS,5220310,310,False
GOODS,3030704,2378,False
GOODS,4730922,614,False
GOODS,3614260,3599,False
GOODS,3783762,1012,False
GOODS,4305942,534,False
GOODS,2361829,1955,False
GOODS,3154690,1591,False
GOODS,1958904,8783,False
GOODS,4995039,1118,False
GOODS,2322887,3029,False
GOODS,2774998,3731,False
GOODS,4305772,1442,False
GOODS,4739968,856,False
GOODS,3154710,1226,False
GOODS,3052033,3121,False
GOODS,3783778,808,False
GOODS,3052057,1950,False
GOODS,3305118,848,False
GOODS,3088138,1662,False
GOODS,3030665,4639,False
GOODS,2322886,1668,False
GOODS,4424992,1252,False
GOODS,3052064,1033,False
GOODS,3783490,1644,False
GOODS,5068731,1849,False
GOODS,4907281,1068,False
GOODS,4314891,977,False
GOODS,2361831,1259,False
GOODS,1964770,20531,False
GOODS,2510196,18174,False
GOODS,5543659,104,False
GOODS,5384970,87,False
GOODS,4058398,5536,False
GOODS,4108580,2693,False
GOODS,5542706,183,False
GOODS,3052063,1615,False
GOODS,4305970,1123,False
GOODS,3052437,5468,False
GOODS,2480237,4259,False
GOODS,2361830,2136,False
GOODS,5384871,136,False
GOODS,968414,6533,False
GOODS,1852144,1369,False
GOODS,4594142,386,False
GOODS,1928038,12834,False
GOODS,5358729,242,False
GOODS,3037100,1763,False
GOODS,4327210,1249,False
GOODS,4363640,1048,False
GOODS,3030712,1712,False
GOODS,2818892,2265,False
GOODS,4306128,756,False
GOODS,4538569,2493,False
GOODS,5542707,80,False
GOODS,4702401,881,False
GOODS,4730930,743,False
GOODS,3783779,699,False
GOODS,4305956,1923,False
GOODS,4330046,1186,False
GOODS,4327303,626,False
GOODS,3829998,552,False
GOODS,1145197,2849,False
GOODS,4305642,472,False
GOODS,2226758,1445,False
GOODS,4990662,1695,False
GOODS,4730960,604,False
GOODS,5543123,132,False
GOODS,3489622,2210,False
GOODS,4739871,570,False
GOODS,4702369,491,False
GOODS,4305756,875,False
GOODS,1786160,2570,False
GOODS,5384936,147,False
GOODS,3489621,2625,False
GOODS,4305965,2277,False
GOODS,4327215,1287,False
GOODS,5068730,5489,False
GOODS,5016409,691,False
GOODS,3489523,745,False
GOODS,3479626,1111,False
GOODS,5543660,85,False
GOODS,3175869,1058,False
GOODS,4702366,715,False
GOODS,4300486,832,False
GOODS,4702307,590,False
GOODS,4730987,608,False
GOODS,4730947,753,False
GOODS,3783843,684,False
GOODS,3284748,928,False
GOODS,4306042,1230,False
GOODS,4730953,1304,False
GOODS,2919571,454,False
GOODS,4330039,789,False
GOODS,3052089,1379,False
GOODS,4730988,647,False
GOODS,3783743,1252,False
GOODS,4995116,3403,False
GOODS,4305853,588,False
GOODS,4363622,1562,False
GOODS,5223183,345,False
GOODS,4740195,547,False
GOODS,3154692,974,False
GOODS,4730994,442,False
GOODS,4330042,551,False
GOODS,3830017,919,False
GOODS,1305450,2603,False
GOODS,5384971,60,False
GOODS,1925442,2326,False
GOODS,4739937,515,False
GOODS,3996400,710,False
GOODS,4305383,695,False
GOODS,4306118,677,False
GOODS,3830016,851,False
GOODS,3829999,486,False
GOODS,1786159,1304,False
GOODS,3031561,2269,False
GOODS,5068734,393,False
GOODS,4907317,1912,False
GOODS,4907316,1510,False
GOODS,4702399,469,False
GOODS,3614220,2073,False
GOODS,2098326,4979,False
GOODS,3030679,2381,False
GOODS,5220313,405,False
GOODS,4739860,597,False
GOODS,4594141,404,False
GOODS,3052034,2731,False
GOODS,5146273,1167,False
GOODS,2774975,484,False
GOODS,4730995,794,False
GOODS,4538564,542,False
GOODS,1852238,975,False
GOODS,4108581,2216,False
GOODS,4995115,3523,False
GOODS,4305378,422,False
GOODS,3783761,1151,False
GOODS,2725337,704,False
GOODS,4739939,788,False
GOODS,4041531,2093,False
GOODS,3591937,1824,False
GOODS,4934308,1182,False
GOODS,4702398,410,False
GOODS,4041003,1937,False
GOODS,3783844,594,False
GOODS,4907284,608,False
GOODS,5385022,108,False
GOODS,3154713,4704,False
GOODS,4305982,368,False
GOODS,3829240,751,False
GOODS,3823183,1010,False
GOODS,3489627,2806,False
GOODS,2510169,4225,False
GOODS,1928032,3332,False
GOODS,2226794,10482,False
GOODS,4702370,508,False
GOODS,3154691,1389,False
GOODS,4730950,673,False
GOODS,4306093,430,False
GOODS,4041018,2367,False
GOODS,3783847,661,False
GOODS,4934377,1246,False
GOODS,1958905,3742,False
GOODS,3347025,1114,False
GOODS,3614246,2391,False
GOODS,3175651,16708,False
GOODS,4594140,361,False
GOODS,3030734,2809,False
GOODS,3030725,2053,False
GOODS,4327134,298,False
GOODS,4041069,3668,False
GOODS,3255472,1553,False
GOODS,4995112,952,False
GOODS,4305628,810,False
GOODS,1786163,1281,False
GOODS,4995040,457,False
GOODS,4479883,1107,False
GOODS,4306085,709,False
GOODS,5068735,419,False
GOODS,4363629,1746,False
GOODS,5068729,407,False
