goodsNo,goodsName,displayGenderText,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,reviewCount,reviewScore,isYoutubeCollab
5052197,[2PACK] BASIC CREW NECK T-SHIRT_OFF WHITE/BLACK,공용,68000,47600,,30,,False,outstanding,125,96,0
3601089,POLAR GOOSE DOWN PARKA_BLACK,남성,348000,313200,,10,,False,outstanding,698,98,0
5353278,THIN STRIPE LONG SLEEVE TEE_NAVY/IVORY,남성,52000,46800,,10,,False,outstanding,7,100,0
5369863,MOT SERIES SWEAT(CUSTOM MADE CARS)_1%OATMEAL,남성,89000,80100,,10,,False,outstanding,1,100,0
5312874,HIGH DENSITY COTTON DOUBLE PLEATED PANTS_BLACK,남성,94000,84600,,10,,False,outstanding,6,100,0
4261908,STRIPE CREW NECK LONG SLEEVE TEE_IVORY/NAVY,남성,62000,55800,,10,,False,outstanding,115,96,0
2089169,REVERSE HEAVY HOOD SWEAT_NAVY,공용,98000,98000,,0,,False,outstanding,2059,98,0
2263704,REVERSE HEAVY SWEAT_BLACK,공용,89000,89000,,0,,False,outstanding,919,98,0
5296590,AUTHENTIC COMFORT SWEAT_VINTAGE CHARCOAL,남성,84000,75600,,10,,False,outstanding,4,100,0
5469524,USN N-1 DECK JACKET_KHAKI,남성,289000,260100,,10,,False,outstanding,1,100,0
1667891,V.S.C HOOD SWEAT(MARYS)_BLACK,공용,89000,80100,,10,,False,outstanding,1084,98,0
3060021,OFFICER CHINO PANTS_L.BEIGE,공용,89000,80100,,10,,False,outstanding,345,98,0
4262818,HEAVY CANVAS WASHING WORK JACKET_BEIGE,남성,179000,161100,,10,,False,outstanding,66,98,0
4262928,TORAY KARAKORAM EUROPEAN GOOSE DOWN PARKA_KHAKI BEIGE,남성,498000,448200,,10,,False,outstanding,95,96,0
3459852,HIKING BELTED PANTS_BLACK,공용,98000,88200,,10,,False,outstanding,336,98,0
3050518,MIL SERIES LONG SLEEVE(74TH FIGHTER SQ)_PIGMENT PINK,공용,74000,66600,,10,,False,outstanding,1448,98,0
5370214,V.S.C SWEAT(PITCH IN HIT)_1%MELANGE GRAY,남성,79000,71100,,10,,False,outstanding,3,100,0
3051241,WIDE SWEAT PANTS_BLACK,공용,83000,83000,,0,,False,outstanding,210,98,0
4262936,TORAY LEVEL7 DOWN PARKA_BLACK,남성,324000,291600,,10,,False,outstanding,69,98,0
5312876,HIGH DENSITY COTTON DOUBLE PLEATED PANTS_BEIGE,남성,94000,84600,,10,,False,outstanding,4,100,0
5353187,CANVAS CARPENTER DOUBLE KNEE PANTS_CHARCOAL,남성,108000,97200,,10,,False,outstanding,4,100,0
5312844,40S CORDUROY STRAIGHT PANTS_BROWN,남성,98000,88200,,10,,False,outstanding,8,92,0
3459868,V.S.C SWEAT(VERMONT)_WINE,공용,79000,71100,,10,,False,outstanding,910,98,0
5408012,VELVET SOUVENIR JACKET_BLACK,남성,198000,178200,,10,,False,outstanding,1,100,0
3807591,V.S.C SWEAT(HOLIDAY)_3%MELANGE GRAY,공용,79000,71100,,10,,False,outstanding,274,96,0
4261902,HENLEY NECK LONG SLEEVE TEE_NATURAL,남성,52000,46800,,10,,False,outstanding,136,94,0
4262820,HEAVY CANVAS WASHING WORK JACKET_CHARCOAL,남성,179000,161100,,10,,False,outstanding,58,96,0
4423364,AUTHENTIC COMFORT SWEAT_BLACK,남성,74000,66600,,10,,False,outstanding,115,98,0
4262841,PRIMALOFT LEVEL 7 SHORT PARKA_SAGE GREEN,남성,258000,232200,,10,,False,outstanding,164,98,0
4721708,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO HOOD SWEAT_BLACK,공용,94000,84600,,10,,False,outstanding,39,98,0
2089168,REVERSE HEAVY SWEAT_NAVY,공용,89000,89000,,0,,False,outstanding,805,96,0
4261901,HENLEY NECK LONG SLEEVE TEE_OFF WHITE,남성,52000,46800,,10,,False,outstanding,195,98,0
5370219,V.S.C SWEAT(PITCH IN HIT)_BROWN,남성,79000,71100,,10,,False,outstanding,5,88,0
5370407,THERMAL LONG SLEEVE TEE_3%MELANGE GRAY,남성,74000,66600,,10,,False,outstanding,9,98,0
4721701,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO SWEAT_BLACK,공용,84000,75600,,10,,False,outstanding,121,98,0
4641449,OSTD STITCH CRAFTED BELT_BROWN,남성,58000,52200,,10,,False,outstanding,43,98,0
2263758,REVERSE HEAVY HOOD SWEAT_BLACK,공용,98000,98000,,0,,False,outstanding,1649,98,0
5441657,MIL SERIES HOOD SWEAT(FLYING SCHOOL)_3%MELANGE GRAY,남성,95000,85500,,10,,False,outstanding,0,0,0
5353684,BRUSHED WOOL ROUND NECK CARDIGAN_BROWN,남성,108000,97200,,10,,False,outstanding,2,100,0
4721705,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO HOOD SWEAT_NAVY,공용,94000,84600,,10,,False,outstanding,50,100,0
4423369,AUTHENTIC COMFORT SWEAT_NAVY,남성,74000,66600,,10,,False,outstanding,84,98,0
2691620,LAMBSWOOL FISHERMAN CARDIGAN_BRICK,공용,108000,97200,,10,,False,outstanding,576,96,0
5353664,RAGLAN CREW NECK KNIT_OLIVE,남성,79000,71100,,10,,False,outstanding,6,100,0
4755261,MULTI STRIPE CREW NECK LONG SLEEVE TEE_NAVY/IVORY,공용,58000,52200,,10,,False,outstanding,59,96,0
2310838,REVERSE HEAVY SWEAT_1%OATMEAL,공용,89000,89000,,0,,False,outstanding,440,98,0
4261906,STRIPE CREW NECK LONG SLEEVE TEE_OLIVE/NAVY,남성,62000,55800,,10,,False,outstanding,132,96,0
3060027,OFFICER CHINO PANTS_BLACK,공용,89000,80100,,10,,False,outstanding,161,96,0
5312895,HIGH DENSITY COTTON DOUBLE PLEATED PANTS_NAVY,남성,94000,84600,,10,,False,outstanding,6,90,0
1564072,REVERSE HEAVY SWEAT PANTS_3%MELANGE GRAY,공용,83000,83000,,0,,False,outstanding,3210,96,0
5415960,USN DECK VEST_KHAKI,남성,138000,124200,,10,,False,outstanding,0,0,0
5469519,USN N-1 DECK JACKET_NAVY,남성,289000,260100,,10,,False,outstanding,1,100,0
4261741,LATE TYPE WIDE OFFICER CHINO PANTS_KHAKI,남성,89000,80100,,10,,False,outstanding,72,98,0
5353655,PURE WOOL WHOLEGARMENT KNIT_MELANGE GRAY,남성,118000,106200,,10,,False,outstanding,1,100,0
1715357,TORAY KARAKORAM EUROPEAN GOOSE DOWN PARKA_OLIVE,남성,498000,448200,,10,,False,outstanding,983,96,0
1354131,V.S.C SWEAT(NAVY)_NAVY,공용,79000,71100,,10,,False,outstanding,2287,98,0
5312869,CORDUROY 2ND JACKET_D.PINK,남성,119000,107100,,10,,False,outstanding,4,100,0
3051243,WIDE SWEAT PANTS_3%MELANGE GRAY,공용,83000,83000,,0,,False,outstanding,204,96,0
5312355,41 TYPE US ARMY CHINO PANTS_DIRTY KHAKI,남성,98000,88200,,10,,False,outstanding,7,100,0
5312902,HIGH DENSITY COTTON CLASSIC 3BUTTON JACKET_BEIGE,남성,134000,120600,,10,,False,outstanding,3,100,0
5353309,MIGHTY TIGER POCKET LONG SLEEVE_BLACK,남성,45000,40500,,10,,False,outstanding,14,98,0
4423418,AUTHENTIC COMFORT HOOD ZIP SWEAT_NAVY,남성,94000,84600,,10,,False,outstanding,35,94,0
5407909,RED CROSS MOCK NECK KNIT_BLACK,남성,79000,71100,,10,,False,outstanding,7,100,0
4755266,MULTI STRIPE CREW NECK LONG SLEEVE TEE_IVORY/BLACK,공용,58000,52200,,10,,False,outstanding,69,96,0
5296593,AUTHENTIC COMFORT SWEAT_HEATHER GRAY,남성,74000,66600,,10,,False,outstanding,5,96,0
3060023,OFFICER CHINO PANTS_OLIVE,공용,89000,80100,,10,,False,outstanding,188,96,0
4721704,[아웃스탠딩×패션플래닛] MIGHTY TIGER LOGO HOOD SWEAT_3%MELANGE GRAY,공용,94000,84600,,10,,False,outstanding,61,98,0
5408015,USN DECK VEST_NAVY,남성,138000,124200,,10,,False,outstanding,1,100,0
5353190,CANVAS CARPENTER DOUBLE KNEE PANTS_OLIVE,남성,108000,97200,,10,,False,outstanding,1,100,0
5312334,BRITISH ARMY COMBAT PANTS_OLIVE,남성,104000,93600,,10,,False,outstanding,8,98,0
3793141,V.S.C HOOD SWEAT(MARYS)_1%OATMEAL,공용,89000,80100,,10,,False,outstanding,152,98,0
4262935,TORAY LEVEL7 DOWN PARKA_SAGE GREEN,남성,324000,291600,,10,,False,outstanding,92,98,0
